"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","70","20001IC04111282E","200720","152","152","0.0000","2020-07-23","2022-03-15"
"A","70","20001IC04192939W","181120","75","75","0.0000","2020-11-24","2022-06-28"
"A","70","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2022-10-17"
"A","70","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2023-02-16"
"A","70","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2023-10-05"
"A","70","21001IC05014592M","280621","52","52","0.0000","2021-06-30","2023-07-14"
"A","70","22001IC04105136H","160522","75","75","0.0000","2022-05-20","2023-11-28"
"A","70","23001IC04049866C","280323","100","108","-8","2023-03-30","2024-07-15"
"A","70","23001IC04174792W","181023","72","72","0.0000","2023-10-27","2024-02-22"
"A","71","11001IC04199085V","61011","53","53","0.0000","2011-10-11","2011-10-17"
"A","71","16001IC04087468E","80916","202","203","-1","2016-09-12","2017-08-25"
"A","71","17001IC04180892A","80917","119","120","-1","2017-09-15","2018-03-13"
"A","71","18001IC04080837W","90418","120","120","0.0000","2018-04-13","2019-01-30"
"A","71","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2019-08-29"
"A","71","19001IC04158500Z","60919","104","110","-6","2019-09-11","2020-11-02"
"A","71","20001IC04192939W","181120","66","66","0.0000","2020-11-24","2021-05-07"
"A","71","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2022-02-02"
"A","71","21001IC04161492N","240821","48","48","0.0000","2021-08-30","2022-01-18"
"A","71","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2022-11-01"
"A","71","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2022-02-15"
"A","71","22001IC04105136H","160522","50","51","-1","2022-05-20","2022-11-03"
"A","72","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","72","16001IC04087468E","80916","204","205","-1","2016-09-12","2017-08-30"
"A","72","17001IC04180892A","80917","119","119","0.0000","2017-09-15","2018-02-28"
"A","72","18001IC04080837W","90418","60","60","0.0000","2018-04-13","2019-01-11"
"A","72","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2020-01-30"
"A","72","19001IC04158500Z","60919","103","103","0.0000","2019-09-11","2021-04-06"
"A","72","20001IC04111282E","200720","151","151","0.0000","2020-07-23","2021-08-18"
"A","72","20001IC04192939W","181120","71","71","0.0000","2020-11-24","2022-02-21"
"A","72","21001IC04054806N","190321","52","54","-2","2021-03-23","2022-08-25"
"A","72","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2022-09-05"
"A","72","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2023-04-13"
"A","72","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2022-11-22"
"A","72","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2023-03-09"
"A","72","23001IC04049866C","280323","100","101","-1","2023-03-30","2023-09-28"
"A","72","23001IC04174792W","181023","76","76","0.0000","2023-10-27","2024-01-19"
"A","73","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","73","16001IC04087468E","80916","204","205","-1","2016-09-12","2018-03-01"
"A","73","17001IC04180892A","80917","118","118","0.0000","2017-09-15","2018-11-27"
"A","73","18001IC04080837W","90418","90","90","0.0000","2018-04-13","2021-01-27"
"A","73","19001IC04015932R","240119","98","99","-1","2019-01-28","2022-01-18"
"A","73","19001IC04158500Z","60919","105","105","0.0000","2019-09-11","2021-08-10"
"A","73","20001IC04192939W","181120","76","76","0.0000","2020-11-24","2021-11-30"
"A","73","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2022-06-28"
"A","73","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2022-08-24"
"A","73","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2022-10-12"
"A","73","21001IC05014592M","280621","50","50","0.0000","2021-06-30","2023-04-20"
"A","73","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2023-04-10"
"A","74","11001IC04199085V","61011","52","52","0.0000","2011-10-11","2011-10-17"
"A","74","16001IC04087468E","80916","199","199","0.0000","2016-09-12","2017-10-09"
"A","74","17001IC04180892A","80917","120","120","0.0000","2017-09-15","2018-09-12"
"A","74","18001IC04080837W","90418","105","105","0.0000","2018-04-13","2019-06-19"
"A","74","19001IC04015932R","240119","110","110","0.0000","2019-01-28","2020-12-01"
"A","74","19001IC04158500Z","60919","99","99","0.0000","2019-09-11","2021-09-27"
"A","74","20001IC04111282E","200720","141","141","0.0000","2020-07-23","2022-11-28"
"A","74","20001IC04192939W","181120","76","76","0.0000","2020-11-24","2023-05-23"
