"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","53","20001IC04111282E","200720","222","222","0.0000","2020-07-23","2021-01-22"
"A","53","20001IC04173188R","221020","100","100","0.0000","2020-10-28","2021-08-24"
"A","53","20001IC04192939W","181120","222","222","0.0000","2020-11-24","2021-09-21"
"A","53","21001IC04054806N","190321","200","201","-1","2021-03-23","2022-01-28"
"A","53","21001IC04161492N","240821","200","201","-1","2021-08-30","2022-02-16"
"A","53","21001IC04245806P","131221","224","224","0.0000","2021-12-17","2022-12-02"
"A","53","21001IC05014592M","280621","200","200","0.0000","2021-06-30","2022-06-21"
"A","53","22001IC04105136H","160522","225","225","0.0000","2022-05-20","2022-10-05"
"A","53","22001IC05023281X","260922","222","222","0.0000","2022-09-26","2023-04-20"
"A","53","23001IC04049866C","280323","500","502","-2","2023-03-30","2023-10-04"
"A","53","23001IC04174792W","181023","379","387","-8","2023-10-27","2024-04-16"
"A","54","11001IC04236558S","231111","150","151","-1","2011-11-29","2012-04-04"
