"FECHA","DOLAR","DOLARA","DOLARB","DOLARC","DOLARD","DOLARE","USUARIO","FECACT"
"22/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-22"
"23/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-23"
"25/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-25"
"26/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-26"
"29/03/2010","3.88","3.88","3.88","3.88","3.88","0.0000","      ","2010-03-29"
"30/03/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-03-30"
"31/03/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-03-31"
"01/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-01"
"05/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-05"
"06/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-06"
"07/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-07"
"08/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-08"
"09/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-09"
"12/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-12"
"13/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-13"
"14/04/2010","3.89","3.89","3.89","3.89","3.89","0.0000","      ","2010-04-14"
"15/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-15"
"16/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-16"
"17/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-17"
"19/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-19"
"20/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-20"
"21/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-21"
"22/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-22"
"23/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-23"
"26/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-26"
"27/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-27"
"28/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-28"
"29/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-29"
"30/04/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-04-30"
"03/05/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-05-03"
"04/05/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-05-04"
"05/05/2010","3.9","3.9","3.9","3.9","3.9","0.0000","      ","2010-05-05"
"06/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-06"
"07/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-07"
"10/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-10"
"11/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-11"
"12/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-12"
"13/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-13"
"14/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-14"
"17/05/2010","3.91","3.91","3.91","3.91","3.91","0.0000","      ","2010-05-17"
"18/05/2010","3.92","3.92","3.92","3.92","3.92","0.0000","      ","2010-05-18"
"19/05/2010","3.92","3.92","3.92","3.92","3.92","0.0000","      ","2010-05-19"
"20/05/2010","3.93","3.93","3.93","3.93","3.93","0.0000","      ","2010-05-20"
"21/05/2010","3.93","3.93","3.93","3.93","3.93","0.0000","      ","2010-05-21"
"26/05/2010","3.93","3.93","3.93","3.93","3.93","0.0000","      ","2010-05-26"
"27/05/2010","3.93","3.93","3.93","3.93","3.93","0.0000","      ","2010-05-27"
"28/05/2010","3.93","3.93","3.93","3.93","3.93","0.0000","      ","2010-05-28"
"31/05/2010","3.93","3.93","3.93","3.93","3.93","0.0000","      ","2010-05-31"
"01/06/2010","3.94","3.94","3.94","3.94","3.94","0.0000","      ","2010-06-01"
"02/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-02"
"03/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-03"
"04/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-04"
"05/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-05"
"07/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-07"
"08/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-08"
"09/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-09"
"10/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-10"
"11/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-11"
"14/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-14"
"15/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-15"
"16/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-16"
"17/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-17"
"18/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-18"
"19/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-19"
"22/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-22"
"23/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-23"
"24/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-24"
"25/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-25"
"28/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-28"
"29/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-29"
"30/06/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-06-30"
"01/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-01"
"02/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-02"
"05/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-05"
"06/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-06"
"07/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-07"
"08/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-08"
"12/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-12"
"13/07/2010","3.95","3.95","3.95","3.95","3.95","0.0000","      ","2010-07-13"
"14/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-14"
"15/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-15"
"16/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-16"
"19/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-19"
"20/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-20"
"21/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-21"
"22/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-22"
"23/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-23"
"26/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-26"
"27/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-27"
"28/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-28"
"29/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-29"
"30/07/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-07-30"
"02/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-02"
"03/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-03"
"04/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-04"
"05/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-05"
"06/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-06"
"09/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-09"
"10/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-10"
"11/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-11"
"12/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-12"
"13/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-13"
"14/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-14"
"17/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-17"
"18/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-18"
"19/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-19"
"20/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-20"
"21/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-21"
"23/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-23"
"24/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-24"
"25/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-25"
"26/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-26"
"27/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-27"
"30/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-30"
"31/08/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-08-31"
"01/09/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-09-01"
"02/09/2010","3.96","3.96","3.96","3.96","3.96","0.0000","      ","2010-09-02"
"03/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-03"
"06/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-06"
"07/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-07"
"08/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-08"
"09/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-09"
"10/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-10"
"11/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-11"
"13/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-13"
"14/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-14"
"15/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-15"
"16/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-16"
"17/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-17"
"20/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-20"
"21/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-21"
"22/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-22"
"23/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-23"
"24/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-24"
"27/09/2010","3.97","3.97","3.97","3.97","3.97","0.0000","      ","2010-09-27"
"28/09/2010","3.98","3.98","3.98","3.98","3.98","0.0000","      ","2010-09-28"
"29/09/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-09-29"
"30/09/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-09-30"
"01/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-01"
"04/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-04"
"05/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-05"
"06/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-06"
"07/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-07"
"08/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-08"
"12/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-12"
"13/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-13"
"14/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-14"
"15/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-15"
"18/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-18"
"19/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-19"
"20/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-20"
"21/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-21"
"22/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-22"
"23/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-23"
"25/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-25"
"26/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-26"
"28/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-28"
"29/10/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-10-29"
"01/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-01"
"02/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-02"
"03/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-03"
"04/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-04"
"05/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-05"
"08/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-08"
"09/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-09"
"10/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-10"
"11/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-11"
"12/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-12"
"15/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-15"
"16/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-16"
"17/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-17"
"18/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-18"
"19/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-19"
"23/11/2010","3.99","3.99","3.99","3.99","3.99","0.0000","      ","2010-11-23"
"24/11/2010","4","4","4","4","4","0.0000","      ","2010-11-24"
"25/11/2010","4","4","4","4","4","0.0000","      ","2010-11-25"
"26/11/2010","4","4","4","4","4","0.0000","      ","2010-11-26"
"29/11/2010","4","4","4","4","4","0.0000","      ","2010-11-29"
"30/11/2010","4","4","4","4","4","0.0000","      ","2010-11-30"
"01/12/2010","4","4","4","4","4","0.0000","      ","2010-12-01"
"02/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-02"
"03/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-03"
"06/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-06"
"07/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-07"
"09/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-09"
"10/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-10"
"11/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-11"
"13/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-13"
"14/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-14"
"15/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-15"
"16/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-16"
"17/12/2010","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2010-12-17"
"20/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-20"
"21/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-21"
"22/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-22"
"23/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-23"
"24/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-24"
"27/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-27"
"28/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-28"
"29/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-29"
"30/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-30"
"31/12/2010","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2010-12-31"
"03/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-03"
"04/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-04"
"05/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-05"
"06/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-06"
"07/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-07"
"09/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-09"
"10/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-10"
"11/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-11"
"12/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-12"
"13/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-13"
"14/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-14"
"15/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-15"
"17/01/2011","4","4","4","4","4","0.0000","      ","2011-01-17"
"18/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-18"
"19/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-19"
"20/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-20"
"21/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-21"
"24/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-24"
"25/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-25"
"26/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-26"
"27/01/2011","4.01","4.01","4.01","4.01","4.01","0.0000","      ","2011-01-27"
"28/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-28"
"29/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-29"
"31/01/2011","4.02","4.02","4.02","4.02","4.02","0.0000","      ","2011-01-31"
"01/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-01"
"02/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-02"
"03/02/2011","4.04","4.04","4.04","4.04","4.04","0.0000","      ","2011-02-03"
"04/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-04"
"07/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-07"
"08/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-08"
"09/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-09"
"10/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-10"
"11/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-11"
"12/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-12"
"14/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-14"
"15/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-15"
"16/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-16"
"17/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-17"
"18/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-18"
"19/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-19"
"21/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-21"
"22/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-22"
"23/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-23"
"24/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-24"
"25/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-25"
"28/02/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-02-28"
"01/03/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-03-01"
"02/03/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-03-02"
"03/03/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-03-03"
"04/03/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-03-04"
"09/03/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-03-09"
"10/03/2011","4.1","4.1","4.1","4.1","4.1","0.0000","      ","2011-03-10"
