"FECHA","FACA","FACB","FACC","NCA","NCB","NCC","NDA","NDB","NDC","MOSTA","MOSTB","MOSTC","NCMOSTA","NCMOSTB","NCMOSTC","UNIDA","UNIDB","UNIDC","DEV","MOSTDEV","UNMOSTA","UNMOSTB","UNMOSTC","PVTA","PCOS","PESP","PESPA","PESPB","PESPC","PESPMOSTA","PESPMOSTB","PESPMOSTC","EXPA","EXPB","NCEXPA","NCEXPB","PESPEXPA","PESPEXPB","UNEXPA","UNEXPB","UNEXPC","EXPDEV","ACUCPRAS","USUARIO","FACTUAL"
"2010-01-29","18","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1037","0","0","0","0","0","0","0","44370.2628","0.0000","44370.2628","44370.2628","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-01-29"
"2010-02-01","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","439","0","0","0","0","0","0","0","13724.5701","0.0000","13724.5701","13724.5701","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-01"
"2010-02-02","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","518","0","0","0","0","0","0","0","19951.2513","0.0000","19951.2513","19951.2513","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-02"
"2010-02-03","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","463","0","0","0","0","0","0","0","12989.9098","0.0000","12989.9098","12989.9098","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-03"
"2010-02-04","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0","693","0","0","0","0","0","0","0","42794.776","0.0000","42794.776","42794.776","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-04"
"2010-02-05","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","514","0","0","0","0","0","0","0","12333.2798","0.0000","12333.2798","12333.2798","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-05"
"2010-02-08","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","32184.7466","0.0000","32184.7466","32184.7466","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-08"
"2010-02-09","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1519","0","0","0","0","0","0","0","25471.5317","0.0000","25471.5317","25471.5317","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-09"
"2010-02-10","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1327","0","0","0","0","0","0","0","30754.461","0.0000","30754.461","30754.461","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-10"
"2010-02-11","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","479","0","0","0","0","0","0","0","23248.9457","0.0000","23248.9457","23248.9457","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-11"
"2010-02-12","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","515","0","0","0","0","0","0","0","15387.2904","0.0000","15387.2904","15387.2904","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-12"
"2010-02-15","9","0","0","14","0","0","0","0","0","0","0","0","0","0","0","-14","0","0","0","0","0","0","0","-10591.0937","0.0000","-10591.0937","-10591.0937","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-15"
"2010-02-16","12","0","0","6","0","0","2","0","0","0","0","0","0","0","0","199","0","0","0","0","0","0","0","21990.2869","0.0000","21990.2869","21990.2869","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-16"
"2010-02-17","27","0","0","2","0","0","0","0","0","0","0","0","0","0","0","546","0","0","0","0","0","0","0","71733.0958","0.0000","71733.0958","71733.0958","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-17"
"2010-02-18","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1252","0","0","0","0","0","0","0","62871.8583","0.0000","62871.8583","62871.8583","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-18"
"2010-02-19","15","0","0","2","0","0","0","0","0","0","0","0","0","0","0","271","0","0","0","0","0","0","0","34562.408","0.0000","34562.408","34562.408","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-19"
"2010-02-22","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","219","0","0","0","0","0","0","0","47745.1584","0.0000","47745.1584","47745.1584","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-22"
"2010-02-23","18","0","0","8","0","0","0","0","0","0","0","0","0","0","0","774","0","0","0","0","0","0","0","29464.0957","0.0000","29464.0957","29464.0957","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-23"
"2010-02-24","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","877","0","0","0","0","0","0","0","34703.322","0.0000","34703.322","34703.322","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-24"
"2010-02-25","16","0","0","3","0","0","0","0","0","0","0","0","0","0","0","382","0","0","0","0","0","0","0","18675.2861","0.0000","18675.2861","18675.2861","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-25"
"2010-02-26","18","0","0","2","0","0","0","0","0","0","0","0","0","0","0","840","0","0","0","0","0","0","0","25759.8002","0.0000","25759.8002","25759.8002","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-02-26"
"2010-03-01","19","0","0","1","0","0","0","0","0","0","0","0","0","0","0","583","0","0","0","0","0","0","0","35955.5081","0.0000","35955.5081","35955.5081","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-01"
"2010-03-02","16","0","0","1","0","0","1","0","0","0","0","0","0","0","0","336","0","0","0","0","0","0","0","24747.2228","0.0000","24747.2228","24747.2228","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-02"
"2010-03-03","14","0","0","3","0","0","2","0","0","0","0","0","0","0","0","454","0","0","0","0","0","0","0","26067.6207","0.0000","26067.6207","26067.6207","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-03-03"
