"CTAB","COD","DESCRI","ALF1","ALF2","ALF3","ALF4","ALF5","ALF6","ALF7","ALF8","NUMSD1","NUMSD2","NUMSD3","NUMCD1","NUMCD2","NUMCD3","FECHA1","FECHA2","MCA1","MCA2","MCA3","USUARIO","FECACT"
"ZN   ","15        ","COSTA / BS.AS. MAURO","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-26"
"VD   ","1         ","FABRICA","     ","     ","     ","     ","     ","     ","     ","     ","1","0","0","3","3","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-08"
"SC   ","C         ","SECC. ""C""","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","CAA       ","CAÑO AGUA-AIRE","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","CAC       ","CAÑO COMBUSTIBLE","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","CC        ","SECC. DOBLE ""C""","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","CT        ","CINTA TRANSPORTADORA","MM1  ","TELAS","     ","MM3  ","     ","     ","MTRS ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2007-01-29"
"SC   ","D         ","SECC. ""D""","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","E         ","SECC. ""E""","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2005-08-09"
"SC   ","GPN       ","GOMA PLANCHA NAT.","MM1  ","TELAS","     ","     ","     ","     ","KG   ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2006-03-22"
"SC   ","GPS       ","GOMA PL. SINT.","MM1  ","TELAS","     ","     ","     ","     ","KG   ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","1","0","          ","2011-08-18"
"SC   ","H10       ","H10","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-11-25"
"SC   ","H12       ","H12","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-11-25"
"CV   ","1         ","15 DIAS F/FACT.","     ","     ","     ","     ","     ","     ","     ","     ","0","0","15","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"CV   ","4         ","CONTADO EFECTIVO","     ","     ","     ","     ","     ","     ","     ","     ","0","0","1","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2011-10-13"
"CV   ","6         ","VALORES 30 DIAS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","30","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"CV   ","8         ","DOC. 30/60/90","     ","     ","     ","     ","     ","     ","     ","     ","0","0","30","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"ZN   ","1         ","A1","     ","     ","     ","     ",,,,,"0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","clever    ","2004-08-20"
"MT   ","1         ","DEV.MERC.","     ","     ","     ","     ",,,,,"0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","clever    ","2004-08-20"
"CV   ","2         ","CONTADO 5 DIAS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","5","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"CV   ","5         ","VALORES 30/60 DIAS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","30","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"CV   ","7         ","DOLAR BILLETE","     ","     ","     ","     ","     ","     ","     ","     ","0","0","30","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"CV   ","9         ","ANTICIPO 50% EFVO-SALDO CH C/ENTR.30 DS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","45","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2011-10-12"
"PV   ","1         ","CF","H    ","     ","     ","     ",,,,,"0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","clever    ","2004-08-20"
"VS   ","1         ","TRES","     ","     ","     ","     ",,,,,"0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","clever    ","2004-08-20"
"VD   ","2         ","FABRICA","     ","     ","     ","     ","     ","     ","     ","     ","2","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-08-08"
"SC   ","H15       ","H15","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-11-25"
"SC   ","H2        ","H2","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-10-22"
"SC   ","H4        ","H4","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-11-25"
"SC   ","H6        ","H6","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-11-25"
"SC   ","H8        ","H8","PULG3","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2006-11-25"
"VD   ","3         ","EZEQUIEL RUTA 5","     ","     ","     ","     ","     ","     ","     ","     ","3","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-09"
"ZN   ","2         ","-2-","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
"ZN   ","3         ","EZEQUIEL RUTA 5","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-09"
"ZN   ","4         ","COSTA FABRICA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2017-06-09"
"ZN   ","5         ","-5-","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2005-07-27"
